187,035,039,019,193,147,250,075,208,052,104,,104,19,39,187,35,250,75,193,147,52,208,,304,
175,222,185,297,228,147,200,040,019,221,149,,40,147,228,19,149,200,185,222,221,297,175,,304,
180,019,081,162,265,108,245,196,144,285,045,,285,144,180,162,81,245,196,265,19,45,108,,422,
139,171,020,073,064,183,088,108,069,114,152,,171,183,64,152,139,20,69,108,88,73,114,,444,
300,142,078,026,182,105,197,185,274,167,021,,142,185,182,78,300,274,26,197,21,105,167,,468,
075,024,022,300,257,137,244,182,291,266,115,,24,244,182,115,300,266,137,257,22,291,75,,404,
022,297,127,066,164,148,240,272,029,180,034,,66,29,148,127,34,180,240,164,297,272,22,,368,
146,105,158,119,265,251,023,052,200,143,047,,251,23,143,105,47,158,146,119,52,200,265,,308,
135,173,146,143,132,209,075,261,080,023,193,,193,146,23,80,132,143,135,75,173,261,209,,344,
024,229,204,224,082,035,135,030,223,119,103,,24,103,135,224,119,82,204,229,223,30,35,,392,
268,142,204,063,085,117,252,037,221,024,033,,37,33,63,204,221,24,85,268,252,117,142,,464,
053,061,225,254,025,149,184,145,124,277,028,,225,277,124,145,149,28,25,61,53,184,254,,350,
190,059,290,025,056,072,244,275,267,101,066,,72,190,275,267,290,244,59,56,101,66,25,,434,
300,026,178,042,250,184,124,050,246,057,168,,178,184,26,50,250,168,124,300,246,42,57,,506,
060,112,075,297,190,102,027,063,087,287,172,,112,102,172,63,287,87,297,190,75,60,27,,388,
088,191,146,063,247,141,034,150,028,232,113,,88,34,28,63,150,232,113,141,146,191,247,,384,
029,038,036,267,149,033,076,148,059,169,127,,33,36,38,127,148,169,76,267,149,29,59,,306,
171,197,038,133,244,080,030,206,135,253,274,,38,244,197,274,135,171,253,206,80,133,30,,386,
240,081,270,132,278,032,157,208,284,294,289,,132,270,294,278,284,81,32,240,289,208,157,,482,
205,072,253,102,141,083,033,271,041,261,284,,102,284,253,271,205,141,72,41,33,261,83,,434,
033,118,168,269,089,289,170,062,216,196,080,,62,118,80,89,289,269,170,196,33,168,216,,360,
035,182,212,171,065,240,242,179,187,040,080,,65,171,35,40,80,240,212,182,242,179,187,,318,
095,047,275,036,170,210,176,257,293,278,256,,257,170,36,210,95,275,47,256,176,278,293,,330,
038,239,123,142,216,077,175,154,158,247,104,,123,38,158,239,154,104,216,175,77,247,142,,406,
155,092,038,259,246,212,131,218,222,265,204,,92,38,246,259,131,218,155,212,204,222,265,,366,
252,200,128,089,187,281,040,203,153,279,177,,252,279,203,281,128,200,187,40,89,153,177,,380,
152,082,043,125,090,192,197,083,041,185,219,,192,43,41,125,219,83,152,82,197,185,90,,384,
174,043,136,217,175,151,207,141,102,205,181,,136,181,217,207,141,175,43,102,205,174,151,,392,
108,264,044,261,255,046,059,191,150,168,155,,108,46,255,264,261,168,44,155,150,59,191,,360,
282,288,296,237,181,195,174,102,113,201,046,,282,181,195,296,201,288,46,174,102,237,113,,382,
190,221,287,110,210,123,050,228,065,250,087,,190,287,221,123,50,110,87,228,210,65,250,,360,
292,271,257,207,070,299,063,053,057,168,290,,257,168,70,271,292,290,53,63,299,57,207,,326,
238,090,102,166,149,205,098,053,247,241,187,,90,53,238,187,98,102,247,166,205,149,241,,442,
200,189,095,298,152,280,055,260,266,290,271,,271,298,152,200,260,266,95,189,280,55,290,,368,
142,270,214,286,240,267,272,059,056,065,188,,270,267,240,65,59,286,142,214,272,56,188,,376,
080,112,109,146,262,176,213,059,255,256,060,,112,262,176,109,256,255,213,60,146,59,80,,336,
237,292,182,155,251,252,066,272,264,261,254,,155,251,264,182,272,254,66,292,252,237,261,,466,
068,084,089,092,131,141,246,180,214,138,238,,131,246,238,89,138,68,84,92,141,180,214,,412,
129,190,278,299,226,182,091,234,071,240,144,,226,144,234,71,299,182,240,129,278,190,91,,330,
073,139,160,256,209,159,205,234,079,110,279,,160,279,209,139,73,159,79,205,110,256,234,,322,
258,165,149,269,120,137,138,076,075,080,107,,75,80,258,76,120,138,107,137,165,149,269,,330,
229,183,152,218,226,077,259,084,199,185,281,,281,259,183,152,229,185,199,226,218,84,77,,360,
176,260,180,207,128,140,155,236,227,082,282,,180,155,207,82,176,260,282,140,227,128,236,,408,
253,169,161,205,202,268,200,228,233,159,149,,253,161,169,200,228,233,202,268,149,205,159,,280,
